"plate","state","license_type","summons_number","issue_date","violation_time","violation","judgment_entry_date","fine_amount","penalty_amount","interest_amount","reduction_amount","payment_amount","amount_due","precinct","county","issuing_agency","violation_status","summons_image"
"A78SAE","NJ","PAS","5127528411","05/15/2023","08:16A","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkZGNFRWRTlQUT09&locationName=_____________________)"
"92197X3","TX","PAS","8819692363","11/15/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVFZOYWsweVRYYzlQUT09&locationName=_____________________)"
"KJC3606","NY","PAS","5127528277","05/15/2023","08:06A","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000",,"DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkVrelRuYzlQUT09&locationName=_____________________)"
"89903R9","TX","PAS","8819692510","11/17/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVFZOYWxWNFRVRTlQUT09&locationName=_____________________)"
"JDN8912","NY","PAS","5127528370","05/15/2023","08:11A","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkUwelRVRTlQUT09&locationName=_____________________)"
"JAA9635","NY","PAS","5127528307","05/15/2023","08:10A","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkUxM1RuYzlQUT09&locationName=_____________________)"
"T749422C","NY","OMT","5127528319","05/15/2023","08:10A","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkUxNFQxRTlQUT09&locationName=_____________________)"
"B20NEJ","NJ","PAS","9064135575","07/10/2023","02:45P","EXPIRED MUNI METER","10/26/2023","35","60","0.53","0.16","95.37","0","070","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBPVkZVelRsRTlQUT09&locationName=_____________________)"
"808630R","NJ","PAS","8819692600","11/18/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVFZOYWxsM1RVRTlQUT09&locationName=_____________________)"
"T106666C","NY","OMT","8917137465","08/04/2022","09:14A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","109","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZSWHBPZWxFeVRsRTlQUT09&locationName=_____________________)"
"821442R","NJ","PAS","8819692648","11/18/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVFZOYWxrd1QwRTlQUT09&locationName=_____________________)"
"LBJ5324","NY","PAS","9064135563","07/10/2023","02:34P","NO STANDING-BUS STOP","10/26/2023","115","60","1.38","0","176.38","0","070","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBPVkZVeVRYYzlQUT09&locationName=_____________________)"
"T709038C","NY","PAS","5097912342","08/10/2017","11:12P","FAILURE TO STOP AT RED LIGHT","11/09/2017","50","25","38.03","0.04","112.99","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNTZhM2hOYWswd1RXYzlQUT09&locationName=_____________________)"
"KZX8649","NY","PAS","5127528563","05/15/2023","08:23A","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkZVeVRYYzlQUT09&locationName=_____________________)"
"LBJ5991","NY","PAS","5127528459","05/15/2023","08:18A","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkZFeFQxRTlQUT09&locationName=_____________________)"
"T724474C","NY","PAS","5097912408","08/10/2017","11:21P","FAILURE TO STOP AT RED LIGHT","11/09/2017","50","25","37.34","0.13","112.21","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNTZhM2hOYWxGM1QwRTlQUT09&locationName=_____________________)"
"T724516C","NY","PAS","5097912550","08/10/2017","11:48P","FAILURE TO STOP AT RED LIGHT","11/09/2017","50","25","37.34","0.13","112.21","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNTZhM2hOYWxVeFRVRTlQUT09&locationName=_____________________)"
"KTC7177","NY","PAS","5127528423","05/15/2023","08:16A","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkZGNVRYYzlQUT09&locationName=_____________________)"
"KTK7982","NY","PAS","5127528472","05/15/2023","08:19A","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkZFelRXYzlQUT09&locationName=_____________________)"
"JKZ6752","NY","PAS","9064135605","07/10/2023","03:46P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","070","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBPVkZsM1RsRTlQUT09&locationName=_____________________)"
"S32NYT","NJ","PAS","8917137775","08/06/2022","08:08A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","109","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZSWHBPZW1NelRsRTlQUT09&locationName=_____________________)"
"JEP1641","NY","PAS","8917137726","08/05/2022","03:22P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","109","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZSWHBPZW1ONVRtYzlQUT09&locationName=_____________________)"
"62273MM","NY","COM","8917137684","08/05/2022","11:49A","NO STANDING-BUS STOP",,"115","0","0","15","100","0","109","Q","TRAFFIC","HEARING HELD-GUILTY REDUCTION","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZSWHBPZWxrMFRrRTlQUT09&locationName=_____________________)"
"KTH4029","NY","PAS","5127528654","05/15/2023","08:29A","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","0.1","0.06","75.04","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkZreFRrRTlQUT09&locationName=_____________________)"
"449206","DE","PAS","8917137933","08/06/2022","11:22A","NO STANDING-COMM METER ZONE",,"115","0","0","0","115","0","109","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZSWHBPZW10NlRYYzlQUT09&locationName=_____________________)"
"14618MM","NY","COM","8675496710","03/25/2019","10:55A","NO STANDING-DAY/TIME LIMITS","10/17/2019","115","60","49.59","0.22","224.37","0","014","NY","TRAFFIC","HEARING HELD-GUILTY REDUCTION","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk0wNVVVVFZPYW1ONFRVRTlQUT09&locationName=_____________________)"
"JGZ1173","NY","PAS","5127528629","05/15/2023","08:26A","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","ST","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkZsNVQxRTlQUT09&locationName=_____________________)"
"KZZ6339","NY","PAS","5127528617","05/15/2023","08:25A","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkZsNFRuYzlQUT09&locationName=_____________________)"
"KYZ4437","NY","PAS","9064135666","07/10/2023","05:01P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","070","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBPVkZreVRtYzlQUT09&locationName=_____________________)"
"T688106C","NY","PAS","5097916402","08/11/2017","10:48A","FAILURE TO STOP AT RED LIGHT","11/09/2017","50","25","39.59","0.04","114.55","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNTZhM2hPYWxGM1RXYzlQUT09&locationName=_____________________)"
"JHN3276","NY","PAS","5127528599","05/15/2023","08:24A","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","1.49","0.11","76.38","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkZVMVQxRTlQUT09&locationName=_____________________)"
"KKY4944","NY","PAS","8917138056","08/07/2022","11:55A","NO STANDING-DAY/TIME LIMITS",,"115","0","0","0","115","0","109","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZSWHBQUkVFeFRtYzlQUT09&locationName=_____________________)"
"JMN4634","NY","PAS","8917138147","08/07/2022","01:51P","NO PARKING-DAY/TIME LIMITS",,"60","0","0","0","60","0","109","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZSWHBQUkVVd1RuYzlQUT09&locationName=_____________________)"
"JFX2270","NY","PAS","8917138184","08/07/2022","02:37P","NO STANDING-DAY/TIME LIMITS",,"115","0","0","0","115","0","109","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZSWHBQUkVVMFRrRTlQUT09&locationName=_____________________)"
"26403ML","NY","COM","8917138251","08/09/2022","01:00P","NO STANDING-DAY/TIME LIMITS",,"115","0","0","25","90","0","109","Q","TRAFFIC","HEARING HELD-GUILTY REDUCTION","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZSWHBQUkVreFRWRTlQUT09&locationName=_____________________)"
"78796MG","NY","PAS","5097919348","08/11/2017","02:04P","FAILURE TO STOP AT RED LIGHT","11/09/2017","50","25","38.07","0.09","112.98","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNTZhM2hQVkUwd1QwRTlQUT09&locationName=_____________________)"
"KRN5019","NY","PAS","5127528680","05/15/2023","08:32A","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","ST","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkZrMFRVRTlQUT09&locationName=_____________________)"
"HZJ8617","NY","PAS","5127528848","05/15/2023","08:42A","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","2.03","0.04","76.99","0","000","MN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkdjd1QwRTlQUT09&locationName=_____________________)"
"DMS7252","NY","PAS","5127528708","05/15/2023","08:35A","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkdOM1QwRTlQUT09&locationName=_____________________)"
"JKG3831","NY","PAS","9077632062","09/08/2023","01:47P","NO STANDING-BUS STOP",,"115","10","0","0","125","0","061","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWHBOYWtFeVRXYzlQUT09&locationName=_____________________)"
"KRV2234","NY","PAS","5127528710","05/15/2023","08:36A","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","1.42","0.67","75.75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkdONFRVRTlQUT09&locationName=_____________________)"
"BB4398","NY","PSD","5127528812","05/15/2023","08:40A","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BK","DEPARTMENT OF TRANSPORTATION","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkdkNFRXYzlQUT09&locationName=_____________________)"
"KVP3321","NY","PAS","8917165813","08/08/2022","12:28P","FIRE HYDRANT",,"115","0","0","0","115","0","115","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZSVEpPVkdkNFRYYzlQUT09&locationName=_____________________)"
"XDFV48","NJ","PAS","8675498366","04/03/2019","12:14P","NO STANDING-DAY/TIME LIMITS","10/17/2019","115","60","51.47","0.6","225.87","0","018","NY","TRAFFIC","HEARING HELD-GUILTY REDUCTION","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk0wNVVVVFZQUkUweVRtYzlQUT09&locationName=_____________________)"
"JSC3035","NY","PAS","8917084588","06/21/2022","05:59P","REG. STICKER-EXPIRED/MISSING",,"65","10","0","0","75","0","107","Q","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRVFJPUkZVMFQwRTlQUT09&locationName=_____________________)"
"T652054C","NY","PAS","5097923042","08/11/2017","05:22P","FAILURE TO STOP AT RED LIGHT","11/09/2017","50","25","39.05","0.02","114.03","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNTZhM2xOZWtFd1RXYzlQUT09&locationName=_____________________)"
"A74SBJ","NJ","PAS","5127528861","05/15/2023","08:45A","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","1.28","0.01","76.27","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkdjeVRWRTlQUT09&locationName=_____________________)"
"KPF7977","NY","PAS","5127528897","05/15/2023","08:46A","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkdjMVRuYzlQUT09&locationName=_____________________)"
"KKM1310","NY","PAS","9077632219","09/09/2023","11:54A","NO PARKING-DAY/TIME LIMITS",,"60","10","0","10","60","0","061","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWHBOYWtsNFQxRTlQUT09&locationName=_____________________)"
"KWX8162","NY","PAS","8917166090","08/09/2022","12:41P","FRONT OR BACK PLATE MISSING",,"65","0","0","0","65","0","109","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZSVEpPYWtFMVRVRTlQUT09&locationName=_____________________)"
"COOKIE66","NY","SRF","8917166052","08/09/2022","12:24P","EXPIRED MUNI METER",,"35","0","0","0","35","0","109","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZSVEpPYWtFeFRXYzlQUT09&locationName=_____________________)"
"91493J8","TX","PAS","8819693574","11/21/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVFZOZWxVelRrRTlQUT09&locationName=_____________________)"
"53042MC","NY","COM","8675498494","04/04/2019","11:47A","DOUBLE PARKING-MIDTOWN COMML","10/17/2019","115","60","52.19","0.77","226.42","0","018","NY","TRAFFIC","HEARING HELD-GUILTY REDUCTION","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk0wNVVVVFZQUkZFMVRrRTlQUT09&locationName=_____________________)"
"KPH7318","NY","PAS","5127529208","05/15/2023","09:03A","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQVkVsM1QwRTlQUT09&locationName=_____________________)"
"20895","CT","999","8819694116","11/22/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVFZPUkVWNFRtYzlQUT09&locationName=_____________________)"
"E37RWW","NJ","PAS","9064135800","07/11/2023","01:57P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","070","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBPVkdkM1RVRTlQUT09&locationName=_____________________)"
"T726388C","NY","PAS","5097924460","08/11/2017","07:10P","FAILURE TO STOP AT RED LIGHT","11/09/2017","50","25","38.9","1.18","112.72","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNTZhM2xPUkZFeVRVRTlQUT09&locationName=_____________________)"
"T751269C","NY","OMT","5127528990","05/15/2023","08:50A","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","0.04","0.04","75","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQUkdzMVRVRTlQUT09&locationName=_____________________)"
"88236JW","NY","PAS","5097924551","08/11/2017","07:18P","FAILURE TO STOP AT RED LIGHT","11/09/2017","50","25","34.52","1.75","107.77","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNTZhM2xPUkZVeFRWRTlQUT09&locationName=_____________________)"
"KSM5765","NY","PAS","5127529270","05/15/2023","09:08A","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQVkVrelRVRTlQUT09&locationName=_____________________)"
"HTC3628","NY","PAS","5127529415","05/15/2023","09:16A","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQVkZGNFRsRTlQUT09&locationName=_____________________)"
"JBS8416","NY","PAS","5127529300","05/15/2023","09:10A","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQVkUxM1RVRTlQUT09&locationName=_____________________)"
"LCD2852","NY","PAS","9064135861","07/11/2023","02:34P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","070","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBPVkdjeVRWRTlQUT09&locationName=_____________________)"
"HPB4828","NY","PAS","8917085672","06/24/2022","04:31P","INSP. STICKER-EXPIRED/MISSING",,"65","30","0","0","95","0","102","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRVFJPVkZrelRXYzlQUT09&locationName=_____________________)"
"KSM4607","NY","PAS","5127529397","05/15/2023","09:15A","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQVkUwMVRuYzlQUT09&locationName=_____________________)"
"HGL4014","NY","PAS","9064135850","07/11/2023","02:30P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","070","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBPVkdjeFRVRTlQUT09&locationName=_____________________)"
"LCJ3338","NY","PAS","5127529312","05/15/2023","09:11A","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","0.1","0.06","75.04","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQVkUxNFRXYzlQUT09&locationName=_____________________)"
"GAL5437","NY","PAS","5127529403","05/15/2023","09:15A","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQVkZGM1RYYzlQUT09&locationName=_____________________)"
"BQVF47","CO","PAS","8917086457","06/29/2022","01:16P","FIRE HYDRANT",,"115","0","0","0","115","0","103","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRVFJPYWxFeFRuYzlQUT09&locationName=_____________________)"
"HAA4378","NY","PAS","8917085787","06/24/2022","06:36P","INSP. STICKER-EXPIRED/MISSING",,"65","10","0","0","75","0","102","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRVFJPVkdNMFRuYzlQUT09&locationName=_____________________)"
"T703386C","NY","PAS","5097928829","08/12/2017","05:58A","FAILURE TO STOP AT RED LIGHT","11/09/2017","50","25","34.16","0.07","109.09","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNTZhM2xQUkdkNVQxRTlQUT09&locationName=_____________________)"
"634268","NY","PAS","8917086688","06/30/2022","02:20P","NO STANDING-DAY/TIME LIMITS",,"115","10","0","0","125","0","106","Q","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRVFJPYWxrMFQwRTlQUT09&locationName=_____________________)"
"12863KA","NY","COM","9040682240","03/21/2023","11:20A","NO STANDING-DAY/TIME LIMITS",,"115","0","0","25","90","0","019","NY","TRAFFIC","HEARING HELD-GUILTY REDUCTION","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVFJOYWtrd1RVRTlQUT09&locationName=_____________________)"
"T640575C","NY","PAS","5097929688","08/12/2017","08:25A","FAILURE TO STOP AT RED LIGHT","11/09/2017","50","25","38.18","0","113.18","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNTZhM2xQVkZrMFQwRTlQUT09&locationName=_____________________)"
"HPL7887","NY","PAS","9068992533","07/26/2023","06:07A","NO STANDING-BUS STOP",,"115","10","0","0","125","0","103","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rOUVhelZOYWxWNlRYYzlQUT09&locationName=_____________________)"
"HMM4968","NY","PAS","5127529543","05/15/2023","09:28A","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQVkZVd1RYYzlQUT09&locationName=_____________________)"
"498LEG","CT","PAS","9040682136","03/21/2023","09:06A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","019","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVFJOYWtWNlRtYzlQUT09&locationName=_____________________)"
"T624569C","NY","OMT","8917087218","07/05/2022","01:53P","NO STANDING-BUS STOP",,"115","0","0","0","115","0","106","Q","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRVFJPZWtsNFQwRTlQUT09&locationName=_____________________)"
"T695685C","NY","PAS","5097928957","08/12/2017","06:35A","FAILURE TO STOP AT RED LIGHT","11/09/2017","50","25","37.21","0.13","112.08","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNTZhM2xQUkdzeFRuYzlQUT09&locationName=_____________________)"
"KYT8759","NY","PAS","5127529762","05/15/2023","09:42A","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQVkdNeVRXYzlQUT09&locationName=_____________________)"
"18780ND","NY","COM","5127529750","05/15/2023","09:42A","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION","HEARING HELD-GUILTY REDUCTION","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxQVkdNeFRVRTlQUT09&locationName=_____________________)"
"HMM9732","NY","PAS","9064135990","07/12/2023","12:52P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","35","0","0","067","K","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBPVkdzMVRVRTlQUT09&locationName=_____________________)"
"KPT8819","NY","PAS","9077632657","09/11/2023","01:11P","REG. STICKER-EXPIRED/MISSING",,"65","10","0","0","75","0","066","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWHBOYWxreFRuYzlQUT09&locationName=_____________________)"
